央视频道,#genre#
cctv,http://117.81.150.186:5555/rtp/239.49.8.136:6000
cctv1,http://ygbh.site/php/bfgd.php?id=488cctv1,
cctv1,http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv
cctv1,http://171.116.255.187:9003/hls/1/index.m3u8
cctv1,http://api.kkitv.itv888.cn:8080/hls/f5fuln3kthe/index.m3u8
cctv1,http://ygbh.site/php/bfgd.php?id=201
cctv1,https://stream1.freetv.fun/199ab85b31f1a75d2b293675dc19ecfc64d9ef601baba79890aeea5b6788d92e.m3u8
cctv2,http://111.43.126.240:9003/hls/14/index.m3u8
cctv2,http://223.76.131.67:5003/cctv2.m3u8?token=7375646f1ec2278a16b115da93668a656a528ce4&z=1f4e
cctv2,http://api.kkitv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
cctv3,http://api.kkitv.itv888.cn:8080/hls/aikp69mli0d/index.m3u8
cctv3,http://27.24.215.54:5003/cctv3.m3u8?token=7375646f11f093e6600334eb1a291dc4877453ef&z=1f40
cctv3,http://111.43.126.240:9003/hls/15/index.m3u8
cctv3,http://ygbh.site/php/bfgd.php?id=062
cctv4,http://api.kkitv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
cctv4,http://111.43.126.240:9003/hls/16/index.m3u8
cctv4,http://ygbh.site/php/bfgd.php?id=063
cctv4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
cctv5,http://ygbh.site/php/bfgd.php?id=064
cctv5,http://api.kkitv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
cctv6,http://api.kkitv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
cctv6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8cctv6,http://110.178.211.204:9003/hls/7/index.m3u8
cctv6,http://110.178.211.204:9003/hls/7/index.m3u8
cctv7,http://api.kkitv.itv888.cn:8080/hls/3udggaszi1i/index.m3u8
cctv8,http://sh.lnott.top:880/dx08.m3u8
cctv8,http://api.kkitv.itv888.cn:8080/hls/vseo1nm7qp/index.m3u8
cctv9,http://sh.lnott.top:880/dx09.m3u8cctv9,http://api.kkitv.itv888.cn:8080/hls/bsmkmf3jrp4/index.m3u8
cctv10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
cctv11,http://ygbh.site/php/bfgd.php?id=130
cctv12,http://api.kkitv.itv888.cn:8080/hls/nwfb31kwc3l/index.m3u8
cctv13,http://api.kkitv.itv888.cn:8080/hls/9sxg4yjgot/index.m3u8
cctv13,http://ygbh.site/php/bfgd.php?id=067
cctv13,http://118.81.193.194:9003/hls/14/index.m3u8
cctv13,http://ak6668768.zicp.io:8812/live1013.m3u8
cctv13,http://117.158.166.73:5003/cctv13.m3u8?token=7375646ff314277ef496a1bd482cb9ceebfb1a8c&z=1f4e
cctv15,http://api.kkitv.itv888.cn:8080/hls/hcwu4ianhgw/index.m3u8
cctv16,http://111.43.126.240:9003/hls/29/index.m3u8
CGTN,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ebu8iDniP_aAtg-APxKXKAA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOeLGc8fhipDF_paLm6VUd-%2CEND
卫视频道,#genre#
北京卫视,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
